Rank,State,"Total Energy Consumed per Capita, million Btu",Note: Rankings are based on the full source data values.
1,AK,932
2,LA,925
3,ND,905
4,WY,870
5,IA,490
6,TX,486
7,WV,478
8,SD,458
9,NE,457
10,OK,414
11,IN,400
12,MT,392
13,AL,389
14,KY,375
15,MS,368
16,KS,366
17,AR,356
18,NM,349
19,MN,319
20,TN,315
21,SC,314
22,OH,301
23,ID,301
24,WI,300
25,DE,294
26,IL,294
27,MO,285
28,VA,282
29,PA,279
30,ME,270
31,MI,270
32,GA,263
33,CO,260
34,UT,254
35,NC,249
36,OR,246
37,WA,245
38,NV,242
39,DC,225
40,NH,217
41,NJ,216
42,AZ,215
43,MD,206
44,VT,199
45,FL,198
46,CT,194
47,MA,192
48,CA,189
49,HI,187
50,NY,178
51,RI,170