State,percentage_renewable_produced,percentage_renewable_consumed,difference
AK,28.19,3.777823,24.412177
AL,10.74,14.368555,-3.628555
AR,8.89,10.89512,-2.00512
AZ,13.43,12.462193,0.967807
CA,41.05,24.971704,16.078296
CO,32.7,17.037742,15.662258
CT,3.43,6.667053,-3.237053
DC,35.05,7.322126,27.727874
DE,3.15,3.958546,-0.808546
FL,5.46,9.218447,-3.758447
GA,11.47,14.747798,-3.277798
HI,19.02,14.89545,4.12455
IA,57.29,56.564959,0.725041
ID,70.22,44.6264,25.5936
IL,11.09,8.927303,2.162697
IN,9.82,9.089164,0.730836
KS,45.63,29.468733,16.161267
KY,7.63,6.829926,0.800074
LA,3.44,3.641978,-0.201978
MA,17.78,11.38433,6.39567
MD,9.52,7.680295,1.839705
ME,66.11,59.706687,6.403313
MI,9.62,9.660165,-0.040165
MN,27.2,21.007942,6.192058
MO,11.01,9.255427,1.754573
MS,2.65,5.996043,-3.346043
MT,51.29,34.851107,16.438893
NC,14.22,13.129472,1.090528
ND,39.33,25.689008,13.640992
NE,28.67,30.332081,-1.662081
NH,14.32,16.3684,-2.0484
NJ,3.26,4.893346,-1.633346
NM,35.6,20.372354,15.227646
NV,30.74,22.356375,8.383625
NY,28.53,16.329976,12.200024
OH,3.56,5.365144,-1.805144
OK,44.1,26.300629,17.799371
OR,65.04,71.389253,-6.349253
PA,3.27,5.34341,-2.07341
RI,7.17,7.989542,-0.819542
SC,6.16,10.775357,-4.615357
SD,82.75,86.169664,-3.419664
TN,14.37,11.528851,2.841149
TX,24.23,10.002413,14.227587
UT,12.45,7.965799,4.484201
VA,7.68,10.195405,-2.515405
VT,99.66,46.719428,52.940572
WA,74.22,69.659413,4.560587
WI,8.05,12.045649,-3.995649
WV,5.07,4.361642,0.708358
WY,21.67,13.419652,8.250348