State,2015,2016,2017,2018,2019,2020,2021
AK,28.377611422357933,29.541593620492012,28.148191013865333,29.848038975192477,29.707636978917094,30.774524067499076,28.18729989214378
AL,8.62494095150537,7.269939161751323,9.176393972032145,10.303996033807017,10.616535040477768,12.377056133818735,10.737540418905661
AR,9.076310144877661,8.279882727883516,7.291248338940526,6.791422121135963,8.892163657101799,10.617033915708275,8.892412289194079
AZ,9.4960832311259,10.80158642816859,11.779914109131767,11.49677139795875,10.805598672615037,12.06740787879287,13.429503337102524
CA,30.155036410114537,39.80186655665628,47.206483153842434,43.39099335710351,48.19277504896877,42.57810597285671,41.05426251502703
CO,17.461932828816938,21.55518309221426,22.296973972114607,22.631244511501567,24.586998612803644,30.626572357159827,32.7023871498726
CT,2.945419480893592,3.077172204722856,3.4110343493876365,3.6301168429680764,3.3211204858422416,3.240773155565793,3.4319553971297627
DC,57.67255813953488,69.00515207783037,70.53431233270028,71.29747513582332,36.74000459558823,33.58809372265097,35.04965644325807
DE,1.6637119100804787,1.4246968450490713,1.575045064178434,1.8282888753147912,2.2908650931936876,2.524199999538938,3.1502682093704353
FL,2.269349331549682,2.1160188428669455,2.5602248302813253,3.1643973815816926,3.4854798650057424,4.292452847301825,5.456965720830254
GA,5.458908378783313,5.873419999954941,6.407561790636677,7.8942723734926235,8.46519861401955,11.588850425078883,11.466348148429981
HI,13.238005830327584,14.454491227147914,14.149674186240086,13.255711855322156,12.138792856100732,15.871197097395653,19.020341605851023
IA,33.69446594713946,39.050698655974806,39.063112647053856,35.47070841640197,43.62726999388647,59.421658031333955,57.29273649557498
ID,74.70232994693656,78.18852479297615,81.76734522785206,81.49302562092441,76.3492879096464,76.08303905856198,70.22159778421519
IL,5.902462794410412,6.039907355862525,7.036870990117515,6.668994196021207,8.162581316993395,9.706701495601717,11.087584193654822
IN,5.286413478240386,5.880921156517973,6.213038760335748,5.64995267064468,7.07997270894491,8.176196770398812,9.818708733881337
KS,24.339791640910498,29.836881691847378,36.69453046299487,36.75328121351966,41.695608661469684,44.218388595916515,45.63498844756537
KY,4.601912904917041,4.926354214948218,6.860683512160229,6.202467100322968,6.476769513382657,8.491738374773863,7.634534848746598
LA,3.4353938855439234,3.7096488928878144,3.7324113529240153,3.7095684113475706,3.6088700484815224,3.333022008940977,3.439829036453544
MA,6.813591947308807,7.014928780442223,8.619945131545226,11.181615023051567,13.562132209338362,16.963299188681344,17.77556814528098
MD,7.399826055125149,7.193646385453274,9.764743547330063,9.858510962488092,9.136884006459406,8.623815285546874,9.52387054970052
ME,66.51056764326502,64.7445330974785,74.8435974089599,73.74724086271242,78.62960637239424,76.73520667959059,66.11074591524438
MI,7.34581386016306,7.146521652927588,7.793267881481141,7.7498352319695165,7.91452636796939,9.24707136746961,9.62133568712059
MN,21.82653693699259,21.930712148006133,25.403182699897613,23.49530092209703,24.34804062487001,27.64537888043726,27.19747396813551
MO,3.7322363694424108,3.48661399944442,4.1533444898137,4.623226096494259,7.192967348188782,7.4805258709536915,11.01233263076411
MS,2.3264078191832254,2.4239322872082414,2.6168304632577377,2.780893522295268,2.60419995767052,2.7745313934749043,2.645285707519757
MT,40.521375705697295,44.06520776994874,46.547337569761126,48.25231470035744,44.70761837961463,59.40113235862844,51.2937970828273
NC,6.780243373070853,7.952686986657974,9.508297689145705,11.819927340211935,12.738348076832168,15.469659359623872,14.218477231629882
ND,23.15460269689547,26.65208297914448,33.59429259179251,32.650475635276806,34.97797815478839,38.136870020085155,39.333220209210836
NE,12.377071949574198,13.022888596807835,18.882397262777157,19.075806947619416,23.238933642271764,28.8985649174254,28.667722783402844
NH,16.57707161561386,16.94323446662213,19.689369554064257,18.422357705401648,17.2490256756753,16.033818498648795,14.317301425314835
NJ,1.92347932939868,2.1181977465463566,2.2857374995592874,2.4900617690603823,2.69824849412354,3.218553456482075,3.2612181907963618
NM,8.665131074824385,13.786016639196989,17.891294189823483,23.33366346651718,24.156274304265708,27.156505561922202,35.60438180270067
NV,18.86829887362428,21.78049591820244,25.311933150746153,26.305483027897296,28.441889452053488,28.78967572955624,30.743501120739225
NY,23.026317489022322,24.364788200098506,28.38032607064352,26.891554035445253,28.29033540229251,28.234601316719797,28.53402693949208
OH,2.042996769220987,2.1131021181394005,2.233186551441222,2.204259628341271,2.692231747062897,2.8568540258869923,3.557456679154435
OK,22.276079494563362,29.143632267428316,35.05788707791636,33.98538505944986,38.40610343990188,39.06753798623648,44.10208081493922
OR,67.74931776629303,71.33640138737466,73.14125822252929,69.68173605020735,62.18358274608439,67.47130072681428,65.03833730517182
PA,3.6893393605151417,3.606353985340427,4.034039889285001,4.409276599115178,3.606738173204802,3.422629597141897,3.268475585323046
RI,3.4414660457432062,3.779182727496369,4.83708278238794,4.807052488060964,6.195160460432115,6.948849570654776,7.174988183348521
SC,4.095606945712552,3.7436411608633557,3.5339534287890397,5.1434930638950105,5.0886694767656975,7.085070773775914,6.159138975705983
SD,76.27917396317442,73.9327779707777,75.1288324069044,72.1516984723688,73.80280915362454,80.50348569356788,82.74814671412466
TN,13.529745906498118,8.97377009835553,11.49748055005083,13.321000702636976,13.11519878585801,17.172837634461715,14.370154402996949
TX,10.588699502022932,13.497768798312784,15.876762273889206,17.099010442860955,18.816639900753852,21.843615598185696,24.23172828666891
UT,4.627503564168969,8.403705487669667,13.155365424604742,11.353668217007645,10.893640629645914,12.523656172029845,12.447921176245288
VA,5.054049922432455,4.777144318144837,4.380430112767823,5.663582643588564,5.2780208213274635,5.571835646912012,7.679376990879005
VT,99.77048980170501,99.68700407648151,99.58251377144171,99.78739423350746,99.91645551266967,99.94293750137672,99.6621440497072
WA,75.50025914227047,77.47942469465615,78.5164619405906,77.61144318119534,69.77979710315756,75.03195499733916,74.2182764383464
WI,8.29171764038083,8.901480177255976,8.876559401942625,8.351184390908367,9.381642074423182,9.405907007236705,8.053977131292815
WV,3.8263292166462506,4.043035294591067,4.5542066287262255,5.379449035725417,5.2202982280709,6.170473660053695,5.07148490941811
WY,9.44516608833442,11.494241959886066,11.647548109246692,10.916180503978389,12.659389942116576,16.100541978426858,21.668697158060617
