geotype,geoid,geoname,varname,x2018,x2019,x2020,x2021,x2022,x2023
state,1,Alabama,drillanwrOppose,59.56,62.02,62.87,63.63,63.87,63.45
state,2,Alaska,drillanwrOppose,63.35,64.04,67.16,68.77,69.06,68.8
state,4,Arizona,drillanwrOppose,61.17,60.8,63.02,65.08,66.99,67.78
state,5,Arkansas,drillanwrOppose,58.92,60.18,63.3,64.06,63.88,62.81
state,6,California,drillanwrOppose,70.39,71.06,71.75,72.2,73.12,73.56
state,8,Colorado,drillanwrOppose,66.04,69.73,69.79,71.41,73.04,73.33
state,9,Connecticut,drillanwrOppose,67.76,69.25,69.06,71.29,72.11,72.45
state,10,Delaware,drillanwrOppose,64.78,67.62,67.32,68.95,70.18,71.05
state,11,District of Columbia,drillanwrOppose,75.53,77.56,77.18,79.46,79.7,80.14
state,12,Florida,drillanwrOppose,62.55,64.31,65.77,67.74,69.06,69.23
state,13,Georgia,drillanwrOppose,61.91,60.72,62.16,64.63,66.56,67.2
state,15,Hawaii,drillanwrOppose,72.51,71.98,73.42,68.7,72.98,72.98
state,16,Idaho,drillanwrOppose,58.57,63.92,65.51,65.64,65.97,65.51
state,17,Illinois,drillanwrOppose,69.1,69.53,69.8,71.42,71.51,71.53
state,18,Indiana,drillanwrOppose,60.06,62.89,64.56,66.36,65.46,65.01
state,19,Iowa,drillanwrOppose,61.47,64.0,65.69,66.85,67.33,67.04
state,20,Kansas,drillanwrOppose,60.32,61.27,61.95,63.62,64.67,64.72
state,21,Kentucky,drillanwrOppose,59.38,62.29,63.29,63.52,63.39,63.04
state,22,Louisiana,drillanwrOppose,61.71,63.9,63.59,64.14,64.28,64.25
state,23,Maine,drillanwrOppose,63.59,68.12,67.96,69.69,71.19,71.59
state,24,Maryland,drillanwrOppose,70.95,73.21,73.99,76.51,76.55,76.52
state,25,Massachusetts,drillanwrOppose,70.94,74.14,74.66,76.53,76.22,76.31
state,26,Michigan,drillanwrOppose,64.79,68.56,68.11,70.01,70.75,70.76
state,27,Minnesota,drillanwrOppose,65.23,68.77,68.11,69.91,71.25,71.38
state,28,Mississippi,drillanwrOppose,61.06,59.74,61.53,63.04,63.56,63.41
state,29,Missouri,drillanwrOppose,59.79,62.72,63.26,64.81,65.92,65.85
state,30,Montana,drillanwrOppose,61.38,62.35,65.77,67.15,67.82,67.4
state,31,Nebraska,drillanwrOppose,59.4,60.55,64.41,65.81,65.78,65.3
state,32,Nevada,drillanwrOppose,62.73,62.95,65.11,66.98,67.68,68.01
state,33,New Hampshire,drillanwrOppose,63.2,66.39,67.07,68.48,70.43,70.72
state,34,New Jersey,drillanwrOppose,67.56,70.92,70.72,72.3,73.15,73.16
state,35,New Mexico,drillanwrOppose,65.14,65.42,66.37,68.57,68.4,68.72
state,36,New York,drillanwrOppose,71.27,71.31,72.46,73.85,74.16,74.1
state,37,North Carolina,drillanwrOppose,61.87,62.1,64.08,66.49,68.05,68.48
state,38,North Dakota,drillanwrOppose,57.13,56.09,59.0,61.27,60.57,60.01
state,39,Ohio,drillanwrOppose,60.12,61.27,63.58,65.21,65.99,66.05
state,40,Oklahoma,drillanwrOppose,56.04,56.59,58.82,59.84,60.28,60.14
state,41,Oregon,drillanwrOppose,66.59,70.45,71.35,73.25,74.01,74.19
state,42,Pennsylvania,drillanwrOppose,64.15,65.84,68.71,69.21,69.99,70.01
state,44,Rhode Island,drillanwrOppose,65.68,69.75,69.75,71.5,70.41,70.63
state,45,South Carolina,drillanwrOppose,62.07,63.95,64.04,65.45,66.33,66.39
state,46,South Dakota,drillanwrOppose,59.14,60.27,62.66,62.98,63.78,63.25
state,47,Tennessee,drillanwrOppose,59.02,59.7,60.84,62.27,63.18,63.28
state,48,Texas,drillanwrOppose,63.58,66.48,67.98,69.02,68.43,68.44
state,49,Utah,drillanwrOppose,60.6,62.81,64.46,65.46,65.88,65.65
state,50,Vermont,drillanwrOppose,68.3,70.91,70.34,72.65,74.02,74.33
state,51,Virginia,drillanwrOppose,65.46,67.32,68.57,69.92,71.11,71.32
state,53,Washington,drillanwrOppose,68.59,72.31,72.8,74.42,74.77,74.71
state,54,West Virginia,drillanwrOppose,56.92,59.37,62.63,63.85,61.32,60.34
state,55,Wisconsin,drillanwrOppose,63.82,66.27,66.89,68.4,69.28,69.42
state,56,Wyoming,drillanwrOppose,55.68,54.54,59.33,60.84,60.51,59.62
state,1,Alabama,drilloffshoreOppose,37.81,36.63,35.99,36.88,28.98,32.37
state,2,Alaska,drilloffshoreOppose,49.0,46.79,46.83,50.44,38.51,42.98
state,4,Arizona,drilloffshoreOppose,45.19,42.85,41.23,45.08,36.51,40.37
state,5,Arkansas,drilloffshoreOppose,40.47,40.06,39.75,41.7,32.44,35.9
state,6,California,drilloffshoreOppose,58.79,57.21,56.98,59.17,49.89,53.56
state,8,Colorado,drilloffshoreOppose,54.56,54.37,54.59,57.36,48.53,51.49
state,9,Connecticut,drilloffshoreOppose,49.72,48.82,47.2,51.12,42.92,46.77
state,10,Delaware,drilloffshoreOppose,49.47,49.4,48.97,50.8,43.37,47.12
state,11,District of Columbia,drilloffshoreOppose,64.14,63.56,65.92,69.1,62.32,65.68
state,12,Florida,drilloffshoreOppose,51.69,51.25,51.08,54.24,45.29,48.44
state,13,Georgia,drilloffshoreOppose,46.6,45.03,43.79,46.61,38.52,42.19
state,15,Hawaii,drilloffshoreOppose,57.05,54.37,53.41,49.48,43.51,46.89
state,16,Idaho,drilloffshoreOppose,45.71,45.99,47.64,49.64,37.78,40.5
state,17,Illinois,drilloffshoreOppose,49.44,46.69,46.2,49.64,40.47,44.16
state,18,Indiana,drilloffshoreOppose,42.21,40.49,40.42,43.09,33.82,37.89
state,19,Iowa,drilloffshoreOppose,44.95,46.64,47.02,49.93,39.94,43.61
state,20,Kansas,drilloffshoreOppose,44.76,44.64,43.2,45.49,37.02,39.8
state,21,Kentucky,drilloffshoreOppose,39.87,38.66,38.31,40.13,31.71,35.63
state,22,Louisiana,drilloffshoreOppose,38.88,37.49,34.65,36.32,28.5,31.98
state,23,Maine,drilloffshoreOppose,46.9,45.98,45.7,48.17,41.85,45.62
state,24,Maryland,drilloffshoreOppose,53.92,53.23,52.95,56.4,46.24,50.35
state,25,Massachusetts,drilloffshoreOppose,52.51,52.01,52.73,56.36,47.08,50.59
state,26,Michigan,drilloffshoreOppose,46.27,45.94,45.1,48.76,39.79,43.42
state,27,Minnesota,drilloffshoreOppose,49.99,49.16,47.91,50.51,42.88,47.41
state,28,Mississippi,drilloffshoreOppose,38.41,35.59,32.53,35.11,27.36,30.47
state,29,Missouri,drilloffshoreOppose,45.9,43.93,41.99,44.43,34.67,38.43
state,30,Montana,drilloffshoreOppose,45.61,46.3,49.37,51.95,40.14,43.35
state,31,Nebraska,drilloffshoreOppose,46.21,44.61,44.57,45.88,35.4,38.73
state,32,Nevada,drilloffshoreOppose,47.97,46.43,45.52,48.34,39.02,42.48
state,33,New Hampshire,drilloffshoreOppose,46.37,47.09,46.95,49.96,41.62,44.97
state,34,New Jersey,drilloffshoreOppose,52.52,51.7,52.27,55.01,45.42,48.4
state,35,New Mexico,drilloffshoreOppose,51.27,49.48,48.71,51.32,43.33,47.47
state,36,New York,drilloffshoreOppose,51.66,48.78,49.6,51.72,41.76,45.37
state,37,North Carolina,drilloffshoreOppose,43.74,43.43,43.58,46.53,38.23,41.49
state,38,North Dakota,drilloffshoreOppose,39.5,37.13,35.19,36.59,27.26,31.62
state,39,Ohio,drilloffshoreOppose,43.17,41.29,40.65,43.29,35.39,39.15
state,40,Oklahoma,drilloffshoreOppose,39.89,39.42,39.1,41.19,32.63,36.45
state,41,Oregon,drilloffshoreOppose,56.29,55.24,56.04,59.94,51.19,53.82
state,42,Pennsylvania,drilloffshoreOppose,45.39,43.83,44.79,46.82,37.76,41.22
state,44,Rhode Island,drilloffshoreOppose,49.18,49.05,47.57,50.57,42.19,45.98
state,45,South Carolina,drilloffshoreOppose,44.69,44.12,43.38,45.8,36.87,39.88
state,46,South Dakota,drilloffshoreOppose,42.65,41.58,39.76,42.32,31.33,35.0
state,47,Tennessee,drilloffshoreOppose,39.04,37.5,36.97,40.47,32.52,35.8
state,48,Texas,drilloffshoreOppose,43.34,42.57,42.39,44.75,35.63,39.35
state,49,Utah,drilloffshoreOppose,45.02,44.86,44.99,48.34,39.07,44.03
state,50,Vermont,drilloffshoreOppose,50.7,51.27,50.95,54.08,47.65,51.37
state,51,Virginia,drilloffshoreOppose,49.82,48.89,48.89,51.46,42.95,45.9
state,53,Washington,drilloffshoreOppose,57.0,55.41,56.67,60.2,51.07,54.47
state,54,West Virginia,drilloffshoreOppose,40.71,39.61,41.16,42.57,31.13,35.88
state,55,Wisconsin,drilloffshoreOppose,44.85,43.39,43.77,46.5,37.94,41.71
state,56,Wyoming,drilloffshoreOppose,39.88,38.14,38.33,39.8,28.71,33.19
state,1,Alabama,fundrenewables,80.98,79.46,77.2,72.2,73.51,74.16
state,2,Alaska,fundrenewables,84.88,83.19,82.55,76.89,79.22,79.81
state,4,Arizona,fundrenewables,85.37,83.94,82.92,76.87,78.06,78.85
state,5,Arkansas,fundrenewables,80.68,80.27,76.42,72.46,72.7,73.25
state,6,California,fundrenewables,87.79,86.56,86.11,79.02,80.29,81.02
state,8,Colorado,fundrenewables,85.96,85.21,83.96,78.25,80.14,80.94
state,9,Connecticut,fundrenewables,88.35,87.3,86.15,80.76,81.65,82.26
state,10,Delaware,fundrenewables,86.48,85.52,84.43,77.13,77.5,78.3
state,11,District of Columbia,fundrenewables,90.45,89.17,90.36,84.56,86.49,87.08
state,12,Florida,fundrenewables,85.65,84.38,83.44,76.91,78.3,78.95
state,13,Georgia,fundrenewables,85.96,83.99,83.08,76.81,77.83,78.57
state,15,Hawaii,fundrenewables,89.09,87.38,87.54,76.94,82.04,82.38
state,16,Idaho,fundrenewables,83.62,82.63,78.98,74.79,76.29,76.6
state,17,Illinois,fundrenewables,88.39,86.32,86.33,81.21,82.39,82.77
state,18,Indiana,fundrenewables,84.43,82.43,82.68,74.96,75.5,76.02
state,19,Iowa,fundrenewables,85.36,82.46,82.43,76.66,76.88,77.16
state,20,Kansas,fundrenewables,84.16,82.32,80.21,75.17,76.38,76.78
state,21,Kentucky,fundrenewables,80.89,78.75,75.93,71.78,72.65,73.47
state,22,Louisiana,fundrenewables,81.36,80.07,77.87,71.06,72.3,73.26
state,23,Maine,fundrenewables,86.64,86.45,85.76,77.2,77.6,78.5
state,24,Maryland,fundrenewables,89.35,87.41,87.36,82.13,83.45,83.81
state,25,Massachusetts,fundrenewables,89.59,88.2,88.47,82.7,83.76,84.34
state,26,Michigan,fundrenewables,86.8,85.89,83.95,77.91,79.46,79.95
state,27,Minnesota,fundrenewables,86.68,84.46,84.22,78.56,79.97,80.55
state,28,Mississippi,fundrenewables,81.93,80.11,77.14,73.78,73.97,74.53
state,29,Missouri,fundrenewables,83.63,82.39,80.23,75.19,76.23,76.6
state,30,Montana,fundrenewables,84.48,80.63,80.49,76.44,77.26,77.74
state,31,Nebraska,fundrenewables,83.91,81.76,80.19,75.58,76.77,76.93
state,32,Nevada,fundrenewables,85.26,83.27,83.0,76.06,76.68,77.4
state,33,New Hampshire,fundrenewables,87.39,86.32,85.03,79.03,79.19,79.89
state,34,New Jersey,fundrenewables,87.51,85.95,86.01,79.63,81.23,82.07
state,35,New Mexico,fundrenewables,84.77,83.44,82.83,75.63,75.28,76.16
state,36,New York,fundrenewables,88.49,87.25,87.34,81.6,83.31,83.88
state,37,North Carolina,fundrenewables,85.98,83.82,83.21,77.27,78.87,79.45
state,38,North Dakota,fundrenewables,81.87,78.83,76.96,72.47,72.8,72.99
state,39,Ohio,fundrenewables,85.34,85.1,83.24,76.44,77.67,78.21
state,40,Oklahoma,fundrenewables,80.32,78.65,75.53,70.85,71.46,72.29
state,41,Oregon,fundrenewables,86.8,85.75,85.57,77.58,79.1,79.89
state,42,Pennsylvania,fundrenewables,84.54,83.19,82.28,75.93,77.01,77.92
state,44,Rhode Island,fundrenewables,87.53,87.12,86.23,78.72,78.39,78.97
state,45,South Carolina,fundrenewables,83.89,82.66,81.36,75.72,76.31,76.65
state,46,South Dakota,fundrenewables,84.02,82.36,79.31,76.22,76.76,76.57
state,47,Tennessee,fundrenewables,82.13,80.84,77.23,73.44,74.7,75.52
state,48,Texas,fundrenewables,82.33,81.37,80.0,73.87,74.27,75.67
state,49,Utah,fundrenewables,84.87,81.96,80.85,75.61,77.29,77.86
state,50,Vermont,fundrenewables,88.73,88.18,87.69,81.08,80.85,81.33
state,51,Virginia,fundrenewables,86.95,85.58,84.53,79.74,81.58,81.96
state,53,Washington,fundrenewables,87.11,85.73,86.43,78.95,80.79,81.53
state,54,West Virginia,fundrenewables,81.0,79.55,77.16,70.57,71.36,71.66
state,55,Wisconsin,fundrenewables,86.83,84.19,83.33,77.93,78.59,79.11
state,56,Wyoming,fundrenewables,80.83,77.56,75.74,72.36,73.75,73.87
state,1,Alabama,rebates,79.52,79.04,79.63,74.7,71.62,69.69
state,2,Alaska,rebates,81.95,80.89,82.04,77.64,75.42,73.77
state,4,Arizona,rebates,81.31,80.42,81.5,76.9,73.98,72.33
state,5,Arkansas,rebates,78.46,78.02,79.49,73.97,71.3,69.22
state,6,California,rebates,82.86,82.61,83.25,79.74,77.44,76.27
state,8,Colorado,rebates,82.52,81.53,82.58,78.6,75.71,74.22
state,9,Connecticut,rebates,84.13,83.96,84.28,80.34,78.81,77.35
state,10,Delaware,rebates,81.36,80.78,80.85,77.34,74.07,72.76
state,11,District of Columbia,rebates,85.55,84.56,85.73,83.02,81.46,80.3
state,12,Florida,rebates,80.81,80.18,81.3,76.6,74.51,73.02
state,13,Georgia,rebates,81.22,80.29,80.87,76.68,73.67,72.19
state,15,Hawaii,rebates,84.26,84.0,84.45,77.4,78.43,76.83
state,16,Idaho,rebates,80.18,79.63,80.14,74.03,73.02,70.63
state,17,Illinois,rebates,84.52,83.68,84.69,80.62,78.2,76.46
state,18,Indiana,rebates,80.71,79.52,80.79,75.83,72.74,70.88
state,19,Iowa,rebates,81.97,81.57,81.64,76.97,73.23,71.39
state,20,Kansas,rebates,80.36,79.79,80.28,75.44,72.6,71.02
state,21,Kentucky,rebates,79.46,78.66,79.24,74.1,70.46,68.8
state,22,Louisiana,rebates,78.91,78.5,78.93,74.21,70.85,69.24
state,23,Maine,rebates,81.67,80.65,81.91,76.9,74.78,73.45
state,24,Maryland,rebates,84.35,84.07,84.67,81.79,79.54,77.81
state,25,Massachusetts,rebates,84.96,84.41,85.48,81.84,80.12,78.58
state,26,Michigan,rebates,82.44,82.02,82.3,77.86,76.36,74.48
state,27,Minnesota,rebates,81.99,81.38,82.34,78.25,75.08,73.75
state,28,Mississippi,rebates,80.07,79.51,80.17,75.26,72.05,70.19
state,29,Missouri,rebates,79.69,79.02,80.26,75.18,72.62,70.93
state,30,Montana,rebates,82.78,81.88,82.11,77.13,73.15,71.23
state,31,Nebraska,rebates,80.24,79.36,80.79,75.79,72.25,70.59
state,32,Nevada,rebates,81.18,80.54,81.28,76.7,73.66,71.81
state,33,New Hampshire,rebates,82.46,81.79,83.09,78.55,76.32,74.73
state,34,New Jersey,rebates,83.68,83.63,84.39,80.82,79.41,77.83
state,35,New Mexico,rebates,81.79,80.85,81.59,77.47,72.39,71.0
state,36,New York,rebates,85.0,84.39,85.48,81.57,80.08,78.21
state,37,North Carolina,rebates,81.04,80.39,81.59,77.12,74.6,73.13
state,38,North Dakota,rebates,80.68,79.24,79.87,74.55,68.63,67.18
state,39,Ohio,rebates,81.23,80.27,81.61,76.4,73.86,72.12
state,40,Oklahoma,rebates,78.2,77.64,78.27,73.09,70.4,68.36
state,41,Oregon,rebates,81.63,80.9,81.84,77.73,75.51,74.16
state,42,Pennsylvania,rebates,81.9,81.24,82.5,78.03,75.8,74.08
state,44,Rhode Island,rebates,82.03,81.23,83.14,78.98,75.94,74.36
state,45,South Carolina,rebates,80.54,80.04,80.48,75.68,72.72,70.89
state,46,South Dakota,rebates,80.73,80.24,80.69,75.09,72.67,70.46
state,47,Tennessee,rebates,79.28,78.87,79.53,74.39,72.7,70.65
state,48,Texas,rebates,79.77,78.92,79.71,75.22,71.65,70.49
state,49,Utah,rebates,81.78,80.81,81.28,75.85,73.42,71.49
state,50,Vermont,rebates,84.36,83.67,84.54,80.6,77.47,75.91
state,51,Virginia,rebates,82.46,81.81,83.0,79.11,77.12,75.44
state,53,Washington,rebates,82.47,81.96,82.88,79.09,77.16,75.83
state,54,West Virginia,rebates,79.17,77.7,79.1,73.52,68.07,66.17
state,55,Wisconsin,rebates,82.9,82.09,82.43,77.5,74.27,72.62
state,56,Wyoming,rebates,80.99,79.14,80.81,75.0,69.34,67.28
state,1,Alabama,reducetax,63.57,60.31,62.84,60.92,60.83,62.16
state,2,Alaska,reducetax,63.01,61.41,64.15,63.35,63.75,65.38
state,4,Arizona,reducetax,64.18,62.29,64.02,62.91,62.79,64.73
state,5,Arkansas,reducetax,64.21,61.67,65.83,62.73,61.56,63.39
state,6,California,reducetax,72.03,70.13,72.05,71.07,70.47,72.08
state,8,Colorado,reducetax,64.59,62.86,64.32,62.77,64.98,66.86
state,9,Connecticut,reducetax,73.35,72.49,72.38,70.76,70.72,72.51
state,10,Delaware,reducetax,67.87,65.7,65.26,64.14,63.72,65.98
state,11,District of Columbia,reducetax,72.98,72.94,73.82,73.21,74.49,76.55
state,12,Florida,reducetax,67.34,65.32,67.47,64.85,65.11,66.88
state,13,Georgia,reducetax,67.29,65.66,66.01,65.14,64.42,66.48
state,15,Hawaii,reducetax,74.09,72.65,74.23,65.83,71.22,72.19
state,16,Idaho,reducetax,66.07,63.96,62.95,58.71,59.86,60.83
state,17,Illinois,reducetax,69.01,68.38,70.75,70.29,68.88,71.01
state,18,Indiana,reducetax,60.25,58.17,61.13,59.73,58.04,60.85
state,19,Iowa,reducetax,63.36,63.03,64.52,63.86,61.39,63.45
state,20,Kansas,reducetax,63.17,62.4,63.02,60.24,60.19,62.57
state,21,Kentucky,reducetax,59.28,55.8,57.43,55.67,55.42,57.48
state,22,Louisiana,reducetax,64.89,62.69,64.56,60.3,62.12,64.64
state,23,Maine,reducetax,63.77,61.66,62.47,59.77,61.03,64.24
state,24,Maryland,reducetax,73.1,72.23,74.61,74.44,73.59,74.59
state,25,Massachusetts,reducetax,71.28,70.73,72.13,70.81,71.01,73.18
state,26,Michigan,reducetax,70.21,68.57,68.44,66.35,66.93,68.85
state,27,Minnesota,reducetax,63.18,62.69,65.77,65.04,65.18,67.56
state,28,Mississippi,reducetax,66.19,63.28,65.76,65.52,63.48,64.59
state,29,Missouri,reducetax,62.39,61.33,64.13,61.41,60.96,63.21
state,30,Montana,reducetax,61.66,60.43,61.19,60.25,59.25,60.63
state,31,Nebraska,reducetax,60.58,59.9,63.56,61.54,60.8,62.73
state,32,Nevada,reducetax,64.93,62.91,64.8,63.22,62.44,64.35
state,33,New Hampshire,reducetax,66.98,65.27,67.39,65.95,65.6,67.7
state,34,New Jersey,reducetax,73.24,72.86,74.72,73.01,73.29,74.68
state,35,New Mexico,reducetax,62.38,60.48,63.06,63.3,60.64,62.93
state,36,New York,reducetax,74.48,74.94,75.73,73.4,73.51,75.02
state,37,North Carolina,reducetax,67.43,65.52,68.29,66.27,66.5,67.82
state,38,North Dakota,reducetax,52.64,52.67,54.92,53.35,51.19,54.02
state,39,Ohio,reducetax,65.74,63.57,65.95,63.13,63.24,65.48
state,40,Oklahoma,reducetax,61.59,59.04,60.64,57.68,57.33,59.97
state,41,Oregon,reducetax,66.43,63.88,64.94,63.63,64.87,67.02
state,42,Pennsylvania,reducetax,67.83,66.76,69.21,66.43,67.05,68.75
state,44,Rhode Island,reducetax,67.04,65.26,68.91,66.05,65.28,67.51
state,45,South Carolina,reducetax,66.89,65.06,65.98,64.25,62.9,64.19
state,46,South Dakota,reducetax,64.53,64.06,64.72,63.21,60.93,62.33
state,47,Tennessee,reducetax,65.22,61.67,62.76,60.53,60.56,62.1
state,48,Texas,reducetax,66.02,64.0,64.9,63.97,62.87,66.15
state,49,Utah,reducetax,61.82,60.51,60.37,58.35,58.37,60.11
state,50,Vermont,reducetax,68.71,67.52,68.82,67.99,67.06,69.22
state,51,Virginia,reducetax,69.88,68.41,70.82,69.15,69.64,70.71
state,53,Washington,reducetax,68.73,66.49,68.4,67.71,68.23,69.92
state,54,West Virginia,reducetax,54.03,51.77,56.24,52.19,51.22,53.06
state,55,Wisconsin,reducetax,67.22,65.7,65.71,64.46,63.83,66.09
state,56,Wyoming,reducetax,51.72,50.41,55.21,52.71,52.29,53.68
state,1,Alabama,teachgw,76.74,73.63,75.11,73.86,71.52,71.74
state,2,Alaska,teachgw,77.29,74.56,75.95,76.01,73.88,73.07
state,4,Arizona,teachgw,77.12,75.42,76.65,77.13,74.13,73.48
state,5,Arkansas,teachgw,76.41,73.55,75.82,74.95,71.5,71.19
state,6,California,teachgw,82.25,80.49,81.49,81.15,79.05,78.4
state,8,Colorado,teachgw,77.67,75.77,76.88,76.91,76.01,75.44
state,9,Connecticut,teachgw,82.58,79.9,80.41,80.43,79.27,79.28
state,10,Delaware,teachgw,78.23,76.25,76.26,77.16,74.82,74.96
state,11,District of Columbia,teachgw,84.4,83.62,83.97,85.54,83.94,83.26
state,12,Florida,teachgw,78.42,76.73,78.05,78.15,75.87,75.59
state,13,Georgia,teachgw,78.66,76.54,77.02,77.67,74.78,74.13
state,15,Hawaii,teachgw,83.05,80.4,81.41,77.46,79.44,78.45
state,16,Idaho,teachgw,79.28,76.47,76.49,74.41,72.5,71.86
state,17,Illinois,teachgw,79.1,76.75,78.6,79.48,76.5,75.96
state,18,Indiana,teachgw,71.69,69.16,71.44,71.81,67.91,68.04
state,19,Iowa,teachgw,75.11,71.48,72.83,74.86,70.73,71.45
state,20,Kansas,teachgw,75.55,72.7,73.43,73.16,70.63,70.8
state,21,Kentucky,teachgw,73.11,70.01,70.93,70.5,67.09,67.36
state,22,Louisiana,teachgw,77.26,74.63,75.66,73.97,72.31,72.49
state,23,Maine,teachgw,75.19,73.19,73.75,73.76,72.38,72.64
state,24,Maryland,teachgw,82.67,80.47,82.01,83.46,81.85,81.94
state,25,Massachusetts,teachgw,81.34,79.16,80.33,80.58,79.37,78.8
state,26,Michigan,teachgw,79.55,76.59,77.25,77.13,75.93,76.55
state,27,Minnesota,teachgw,75.35,72.69,74.66,76.08,74.01,74.21
state,28,Mississippi,teachgw,78.86,75.86,77.28,77.27,73.77,73.82
state,29,Missouri,teachgw,74.84,72.32,74.11,74.18,71.13,71.13
state,30,Montana,teachgw,75.56,71.93,73.0,73.71,70.38,70.28
state,31,Nebraska,teachgw,73.69,70.84,73.19,73.17,70.22,70.34
state,32,Nevada,teachgw,77.14,75.32,76.7,77.18,74.27,74.2
state,33,New Hampshire,teachgw,77.69,74.93,76.53,76.56,74.96,75.02
state,34,New Jersey,teachgw,82.79,80.61,81.95,82.26,80.92,80.63
state,35,New Mexico,teachgw,74.6,73.1,74.9,76.51,72.29,72.66
state,36,New York,teachgw,84.57,82.68,83.31,83.66,81.74,80.61
state,37,North Carolina,teachgw,78.48,76.14,77.9,78.19,76.53,76.5
state,38,North Dakota,teachgw,67.06,63.54,65.3,66.96,61.79,62.59
state,39,Ohio,teachgw,76.01,73.4,75.34,74.65,72.34,72.34
state,40,Oklahoma,teachgw,74.34,71.48,72.3,71.04,67.77,67.47
state,41,Oregon,teachgw,79.16,77.33,77.67,77.37,76.09,75.5
state,42,Pennsylvania,teachgw,78.54,75.98,77.69,76.79,75.23,74.53
state,44,Rhode Island,teachgw,77.46,75.69,77.89,77.17,75.47,75.46
state,45,South Carolina,teachgw,78.37,75.69,76.61,76.75,73.61,73.39
state,46,South Dakota,teachgw,76.82,73.28,74.12,74.72,70.48,70.13
state,47,Tennessee,teachgw,77.96,75.15,75.79,74.0,71.43,70.44
state,48,Texas,teachgw,77.79,76.01,76.34,76.94,73.4,73.46
state,49,Utah,teachgw,76.12,73.25,73.78,73.8,70.93,70.41
state,50,Vermont,teachgw,78.63,76.02,77.13,78.17,76.24,76.19
state,51,Virginia,teachgw,80.44,78.11,79.7,79.62,78.37,77.77
state,53,Washington,teachgw,80.5,78.27,79.26,79.32,78.16,77.34
state,54,West Virginia,teachgw,67.29,64.2,67.12,66.35,62.72,63.42
state,55,Wisconsin,teachgw,77.23,74.12,74.79,75.73,73.25,73.71
state,56,Wyoming,teachgw,68.02,64.78,68.07,67.92,64.11,64.25
